id,longitude,latitude,zoom,heading,tilt,width,height
0,15.0973903,37.5054332,21.2,305.8,88.12,200.0,200.0
1,15.0972528,37.5052878,75.0,61.11,77.84,200.0,200.0
2,15.0972528,37.5052878,48.4,268.37,79.56,200.0,200.0
3,15.0971918,37.505222,33.3,279.81,84.9,200.0,200.0
4,15.0967686,37.5048037,75.0,286.23,76.79,200.0,200.0
5,15.0961727,37.5042437,20.7,299.5,87.27,200.0,200.0
6,15.0956941,37.504007,48.2,281.18,82.98,200.0,200.0
7,15.0953409,37.503666,48.9,230.55,79.83,200.0,200.0
8,15.095109,37.5036122,90.0,225.17,72.37,200.0,200.0
9,15.095109,37.5036122,64.3,198.84,71.88,200.0,200.0
10,15.0945301,37.5035509,75.0,214.49,78.0,200.0,200.0
11,15.094417,37.5035389,75.0,204.58,75.3,200.0,200.0
12,15.0943479,37.5035333,75.0,118.32,79.12,200.0,200.0
13,15.0943479,37.5035333,75.0,139.36,74.18,200.0,200.0
14,15.0940066,37.5034946,75.0,219.3,75.65,200.0,200.0
15,15.093417,37.5034207,75.0,104.52,74.29,200.0,200.0
16,15.0934921,37.5034552,49.2,243.74,80.12,200.0,200.0
17,15.0934921,37.5034552,49.2,310.13,75.18,200.0,200.0
18,15.093417,37.5034207,49.0,21.28,79.67,200.0,200.0
19,15.0934221,37.5036239,40.9,263.21,83.19,200.0,200.0
20,15.0934221,37.5036239,40.9,247.89,85.1,200.0,200.0
21,15.0934248,37.5038126,75.0,38.55,78.66,200.0,200.0
22,15.0934356,37.5039884,47.5,9.42,81.8,200.0,200.0
23,15.0934356,37.5039884,47.5,103.16,83.73,200.0,200.0
24,15.0934356,37.5039884,48.9,282.51,81.47,200.0,200.0
25,15.0933892,37.5043932,49.3,9.45,82.66,200.0,200.0
26,15.0933892,37.5043932,49.3,249.63,80.53,200.0,200.0
27,15.0933892,37.5043932,50.2,70.35,82.54,200.0,200.0
28,15.0933892,37.5043932,50.2,117.9,83.11,200.0,200.0
29,15.0933183,37.503418,75.0,199.6,80.46,200.0,200.0
30,15.0928555,37.5033726,75.0,241.99,73.51,200.0,200.0
31,15.0923937,37.5033231,75.0,167.77,77.17,200.0,200.0
32,15.0923937,37.5033231,75.0,242.05,75.7,200.0,200.0
33,15.0919455,37.503283,75.0,231.07,73.98,200.0,200.0
34,15.0919455,37.503283,75.0,203.52,77.65,200.0,200.0
35,15.0919455,37.503283,75.0,139.18,76.35,200.0,200.0
36,15.0912274,37.5031983,75.0,233.76,74.49,200.0,200.0
37,15.091055,37.5031787,50.3,230.7,80.79,200.0,200.0
38,15.0909401,37.503167,64.2,306.69,77.39,200.0,200.0
39,15.0909401,37.503167,64.2,239.43,77.97,200.0,200.0
40,15.0909401,37.503167,64.2,246.85,77.13,200.0,200.0
41,15.0908442,37.5031572,75.0,133.41,80.25,200.0,200.0
42,15.0908442,37.5031572,90.0,207.82,72.25,200.0,200.0
43,15.0907107,37.5031414,75.0,205.84,77.42,200.0,200.0
44,15.0896748,37.5030223,75.0,324.43,77.56,200.0,200.0
45,15.0899035,37.5030533,25.0,276.76,86.94,200.0,200.0
46,15.0897926,37.5030415,75.0,165.17,74.09,200.0,200.0
47,15.0897926,37.5030415,75.0,120.49,75.6,200.0,200.0
48,15.0896748,37.5030223,47.7,238.67,81.77,200.0,200.0
49,15.0895661,37.5030169,75.0,40.25,79.17,200.0,200.0
50,15.0895517,37.503179,75.0,187.89,78.29,200.0,200.0
