id,name,xmin,ymin,xmax,ymax
0,no parking,65.0,59.0,127.0,122.0
1,no entry,111.0,104.0,140.0,142.0
10,drive straight,57.0,81.0,101.0,143.0
100,no entry,73.0,62.0,143.0,134.0
1000,no entry,467.0,200.0,478.0,212.0
1000,turn left,125.0,145.0,149.0,211.0
1001,turn left,206.0,132.0,422.0,349.0
1002,turn right,127.0,250.0,158.0,329.0
1002,no entry,337.0,96.0,448.0,211.0
1003,turn right,148.0,109.0,307.0,351.0
1004,no entry,48.0,140.0,311.0,440.0
1005,drive straight,187.0,150.0,266.0,236.0
1006,stop,267.0,154.0,353.0,250.0
1007,stop,230.0,305.0,314.0,393.0
1008,stop,315.0,94.0,360.0,143.0
1009,no parking,256.0,163.0,331.0,242.0
1009,parking place,246.0,256.0,275.0,285.0
101,parking place,78.0,78.0,122.0,122.0
1010,parking place,205.0,298.0,227.0,319.0
1010,no parking,207.0,235.0,259.0,289.0
1011,turn right,260.0,193.0,325.0,262.0
1011,stop,259.0,120.0,326.0,193.0
1012,pedestrian crossing,69.0,130.0,143.0,207.0
1013,pedestrian crossing,447.0,181.0,472.0,210.0
1013,turn right,42.0,239.0,119.0,321.0
1013,stop,47.0,154.0,126.0,238.0
1014,bumps in the road,162.0,253.0,263.0,340.0
1014,maximum speed 30km/h,174.0,390.0,249.0,467.0
1015,pedestrian crossing,206.0,102.0,240.0,140.0
1016,roundabout,157.0,229.0,237.0,334.0
1016,give way,139.0,88.0,260.0,227.0
1017,no parking,324.0,178.0,356.0,223.0
1018,bumps in the road,230.0,208.0,293.0,269.0
1018,maximum speed 30km/h,237.0,302.0,284.0,352.0
1019,stop,209.0,159.0,263.0,267.0
1019,no parking,245.0,142.0,252.0,154.0
102,parking place,99.0,79.0,133.0,117.0
1020,junction with a minor side-road from left,212.0,56.0,289.0,156.0
1021,maximum speed 20km/h,419.0,222.0,461.0,264.0
1021,keep right,18.0,215.0,30.0,225.0
1022,keep right,237.0,205.0,294.0,263.0
1023,stop,265.0,132.0,310.0,185.0
1024,stop,328.0,142.0,391.0,206.0
1025,no parking,321.0,192.0,362.0,235.0
1026,no parking,200.0,163.0,261.0,237.0
1027,bumps in the road,329.0,178.0,399.0,247.0
1028,no parking,462.0,43.0,487.0,74.0
1028,no parking,29.0,108.0,40.0,119.0
1029,no parking,153.0,85.0,202.0,139.0
103,parking place,79.0,107.0,92.0,120.0
103,no parking,78.0,72.0,109.0,104.0
1030,bumps in the road,286.0,176.0,357.0,252.0
1030,maximum speed 30km/h,270.0,273.0,352.0,359.0
1031,no parking,390.0,134.0,434.0,179.0
1032,stop,46.0,100.0,160.0,219.0
1033,stop,37.0,351.0,60.0,389.0
1033,no entry,39.0,395.0,69.0,468.0
1034,stop,62.0,77.0,237.0,294.0
1034,double bend first to left,278.0,250.0,319.0,301.0
1036,no parking,168.0,134.0,292.0,273.0
1036,no large goods,169.0,275.0,289.0,418.0
1036,maximum speed 30km/h,195.0,422.0,278.0,512.0
